raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk
46.6,12.2,11.4,30.2,63.8,4.83,11.2,594.0,6.92,16.3,6.73
227.0,155.0,28.6,32.8,22.3,10.8,10.1,362.0,19.6,39.2,12.1
27.6,18.6,1.0,292.0,4.74,2.35,2.97,1.0,8.28,13.6,14.6
58.8,31.9,4.07,14.2,3.96,7.64,11.2,231.0,16.3,39.2,17.5
89.8,73.0,17.6,17.6,13.9,1.7,3.75,331.0,13.7,35.5,62.6
44.9,3.08,27.6,2.27,41.0,8.06,10.5,382.0,1.0,1.0,1.0
1747.0,2267.0,99.1,184.0,5.33,48.3,372.0,6.61,392.0,2167.0,890.0
25.5,23.5,13.6,127.0,17.8,8.13,6.55,302.0,6.21,13.9,57.8
186.0,313.0,379.0,644.0,31.9,55.2,382.0,10.5,108.0,723.0,248.0
246.0,372.0,294.0,523.0,5.99,82.8,478.0,10.9,69.2,372.0,207.0
98.2,193.0,115.0,225.0,4.57,93.1,791.0,36.5,69.8,453.0,139.0
158.0,37.2,15.8,90.6,28.9,5.28,12.1,914.0,5.73,18.6,10.3
379.0,604.0,331.0,632.0,11.5,97.3,533.0,11.0,81.3,457.0,227.0
9.47,4.57,1.47,5.05,4.18,311.0,644.0,1946.0,13.1,30.2,13.3
209.0,294.0,119.0,215.0,1.72,101.0,599.0,32.2,66.1,343.0,352.0
33.1,1.72,27.9,26.7,17.5,7.17,10.8,300.0,1.0,15.1,1.32
42.9,29.4,1.0,129.0,13.3,157.0,453.0,6378.0,9.73,33.1,56.7
101.0,61.0,17.9,13.0,27.9,7.99,11.1,215.0,5.14,11.4,58.8
209.0,313.0,160.0,316.0,10.1,124.0,835.0,15.3,34.3,181.0,143.0
311.0,514.0,250.0,418.0,16.4,95.6,542.0,14.2,93.1,698.0,262.0
41.4,1.0,24.6,14.7,16.0,6.04,12.3,246.0,2.48,1.25,1.79
92.2,80.6,15.4,167.0,9.39,2.57,10.7,19.3,13.7,37.5,15.5
279.0,491.0,4.66,11.9,15.5,56.2,372.0,11.9,188.0,1104.0,1027.0
22.9,17.9,35.2,63.2,23.5,7.37,11.1,523.0,35.9,58.3,13.8
105.0,183.0,145.0,264.0,4.03,157.0,1055.0,33.4,90.6,533.0,300.0
191.0,262.0,71.7,121.0,8.82,103.0,615.0,36.2,474.0,2666.0,1000.0
704.0,1346.0,382.0,583.0,6.67,71.7,433.0,8.66,217.0,1230.0,496.0
27.6,20.2,14.5,122.0,26.9,8.35,12.1,418.0,19.6,35.9,22.5
231.0,365.0,692.0,1322.0,25.0,146.0,914.0,3.22,43.3,231.0,163.0
45.7,15.4,8.98,124.0,22.1,4.18,8.66,661.0,11.7,17.5,8.43
78.4,51.9,22.9,23.7,10.4,5.38,9.73,583.0,6.67,14.2,15.4
47.8,31.9,34.0,426.0,41.0,2.07,3.79,27.1,13.9,26.9,74.3
31.9,25.5,29.7,24.8,2.64,1.0,10.2,38.9,8.28,12.0,33.4
34.6,1.39,9.06,109.0,32.5,12.4,10.6,322.0,1.0,2.07,2.02
34.9,16.5,15.8,153.0,41.4,4.74,9.91,939.0,10.2,6.61,8.98
118.0,39.2,66.1,75.0,14.1,4.33,11.1,562.0,18.3,36.5,13.3
26.7,1.0,11.5,179.0,46.1,2.46,7.64,257.0,1.0,122.0,1.0
1114.0,1611.0,685.0,1252.0,17.2,58.8,375.0,9.91,1155.0,6378.0,2035.0
31.6,64.4,437.0,757.0,16.4,76.4,533.0,21.3,74.3,474.0,215.0
21.1,1.37,16.4,161.0,16.4,4.66,10.4,379.0,1.0,107.0,1.58
92.2,63.8,34.6,21.1,8.43,1.0,7.43,155.0,10.6,8.98,37.5
26.9,2.64,12.5,178.0,29.4,5.83,6.92,281.0,1.0,1.07,1.0
41.0,29.4,15.4,15.7,15.0,6.55,9.39,1310.0,12.1,18.9,59.4
100.0,25.7,77.7,246.0,37.2,8.06,8.74,509.0,15.8,28.6,40.0
94.7,5.38,22.7,21.9,4.66,5.83,7.99,248.0,1.0,1.0,1.0
29.7,51.4,211.0,407.0,2.97,95.6,573.0,10.8,127.0,638.0,461.0
227.0,410.0,217.0,414.0,2.09,48.7,355.0,5.14,46.1,281.0,743.0
302.0,491.0,179.0,325.0,5.0,105.0,655.0,11.4,56.7,349.0,99.1
231.0,372.0,820.0,1778.0,25.9,121.0,858.0,12.1,143.0,947.0,1018.0
835.0,1286.0,730.0,1420.0,26.9,47.4,337.0,42.9,22.5,102.0,129.0
193.0,337.0,66.1,98.2,8.98,73.0,437.0,20.4,231.0,1407.0,922.0
21.1,15.3,205.0,396.0,9.65,69.2,567.0,17.8,491.0,2714.0,806.0
41.8,1.01,1.0,6.32,1.75,7.91,8.35,308.0,1.0,1.01,1.6
685.0,1208.0,153.0,300.0,5.38,58.8,359.0,13.8,47.4,286.0,368.0
58.3,46.1,19.6,153.0,18.6,4.57,1.7,113.0,106.0,153.0,34.3
121.0,33.7,4.14,90.6,29.4,6.26,7.04,181.0,8.74,24.6,90.6
66.1,19.5,1.75,1.0,17.0,3.11,5.33,188.0,18.9,38.9,12.9
101.0,1.73,27.6,40.7,10.8,7.99,11.8,325.0,1.0,18.4,1.42
63.2,37.2,37.9,81.3,39.2,316.0,621.0,1472.0,18.1,30.8,9.73
117.0,173.0,176.0,311.0,7.04,54.7,429.0,4.0,154.0,906.0,139.0
1370.0,1860.0,1134.0,1860.0,55.7,56.2,362.0,25.5,112.0,615.0,68.5
56.7,26.7,9.22,15.1,2.57,6.26,9.73,352.0,38.2,54.7,30.5
31.9,21.1,25.3,26.9,11.5,2.21,9.56,118.0,9.65,22.3,21.3
178.0,284.0,292.0,514.0,1.0,64.4,407.0,17.0,64.9,372.0,193.0
172.0,297.0,1208.0,1928.0,17.9,117.0,723.0,9.06,30.8,191.0,82.0
34.3,1.01,36.2,45.3,34.0,6.32,9.31,244.0,1.0,1.0,2.69
39.2,14.5,12.6,274.0,53.8,10.4,10.8,717.0,15.4,31.3,13.7
223.0,362.0,410.0,730.0,11.8,111.0,661.0,14.6,302.0,1640.0,626.0
41.0,45.3,644.0,1144.0,22.1,79.1,519.0,19.5,45.3,92.2,667.0
70.4,100.0,1670.0,2458.0,113.0,93.9,567.0,39.6,65.5,379.0,91.4
160.0,231.0,229.0,400.0,14.5,74.3,567.0,4.78,164.0,1037.0,246.0
246.0,410.0,418.0,626.0,15.0,117.0,710.0,22.9,66.1,449.0,396.0
41.8,1.01,26.9,62.1,13.6,3.72,6.61,313.0,1.0,8.9,1.04
73.0,82.8,23.1,13.5,1.29,5.83,11.8,528.0,13.7,28.6,23.1
161.0,248.0,362.0,661.0,6.38,69.8,505.0,8.98,1358.0,6916.0,4740.0
382.0,615.0,269.0,519.0,15.1,58.8,433.0,9.39,1055.0,5280.0,1310.0
349.0,547.0,158.0,237.0,1.01,69.8,382.0,14.5,188.0,922.0,1395.0
246.0,302.0,750.0,1322.0,41.8,63.2,514.0,9.22,24.6,82.8,599.0
151.0,264.0,375.0,632.0,25.0,56.7,362.0,4.33,219.0,1176.0,250.0
196.0,313.0,730.0,1346.0,15.5,69.8,385.0,8.58,27.4,108.0,111.0
151.0,289.0,53.3,67.3,55.7,98.2,655.0,14.9,26.2,168.0,14.5
9.56,24.4,5.67,17.8,28.4,9.65,12.1,533.0,9.47,17.6,12.0
105.0,200.0,483.0,931.0,5.73,75.0,445.0,13.2,47.8,325.0,172.0
35.9,1.01,14.3,85.1,25.7,6.32,9.82,262.0,16.5,4.7,1.0
103.0,155.0,104.0,202.0,1.37,71.0,514.0,5.47,53.8,281.0,120.0
158.0,276.0,167.0,292.0,12.3,71.0,418.0,4.14,47.4,264.0,145.0
137.0,253.0,4.41,13.7,13.7,6.98,4.91,325.0,2.69,11.3,14.9
1486.0,2227.0,743.0,1407.0,15.3,106.0,698.0,28.1,139.0,799.0,322.0
42.2,1.0,18.8,24.1,19.1,7.91,10.6,368.0,1.0,1.0,1.6
47.8,30.8,26.2,37.9,5.99,7.5,7.04,414.0,35.9,82.8,160.0
90.6,135.0,487.0,1027.0,61.0,108.0,730.0,7.1,16.7,89.8,31.6
94.7,138.0,151.0,225.0,6.21,68.5,426.0,7.77,88.2,528.0,105.0
231.0,346.0,183.0,331.0,17.9,105.0,599.0,13.1,51.9,343.0,300.0
85.1,39.6,8.9,64.9,11.7,6.67,12.2,528.0,17.9,44.1,118.0
231.0,426.0,223.0,379.0,6.1,106.0,509.0,10.3,91.4,567.0,200.0
34.3,16.4,17.6,56.2,47.0,5.99,10.6,215.0,42.9,68.5,18.1
13.9,2.48,66.1,264.0,95.6,8.98,11.9,362.0,1.83,14.3,1.37
22.5,1.72,20.5,112.0,31.1,3.22,7.1,346.0,1.0,1.0,2.92
107.0,30.0,8.66,38.2,9.82,6.26,8.13,466.0,5.88,27.6,155.0
221.0,359.0,368.0,661.0,7.57,78.4,487.0,3.65,85.8,466.0,179.0
